danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.629,0.525,1,-5.739,1,0.0409,0.0147,0.0,0.174,0.164,144.099,audio_features,5Msad6XN5ilDDPfSb6Jlx1,spotify:track:5Msad6XN5ilDDPfSb6Jlx1,https://api.spotify.com/v1/tracks/5Msad6XN5ilDDPfSb6Jlx1,https://api.spotify.com/v1/audio-analysis/5Msad6XN5ilDDPfSb6Jlx1,231267,4
0.562,0.52,1,-7.497,1,0.221,0.156,0.0,0.231,0.38,144.028,audio_features,6BwNGJe9NWVcb3KjBpqGja,spotify:track:6BwNGJe9NWVcb3KjBpqGja,https://api.spotify.com/v1/tracks/6BwNGJe9NWVcb3KjBpqGja,https://api.spotify.com/v1/audio-analysis/6BwNGJe9NWVcb3KjBpqGja,210627,4
0.923,0.807,2,-6.775,1,0.254,0.0673,0.0,0.105,0.894,136.98,audio_features,06IUK16ZqZC4XYbEtdGUDs,spotify:track:06IUK16ZqZC4XYbEtdGUDs,https://api.spotify.com/v1/tracks/06IUK16ZqZC4XYbEtdGUDs,https://api.spotify.com/v1/audio-analysis/06IUK16ZqZC4XYbEtdGUDs,286959,4
0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,207301,4
0.675,0.68,4,-5.01,0,0.256,0.0655,0.0,0.354,0.845,155.698,audio_features,4ns1XFP3W5JPyzvnAjMdHD,spotify:track:4ns1XFP3W5JPyzvnAjMdHD,https://api.spotify.com/v1/tracks/4ns1XFP3W5JPyzvnAjMdHD,https://api.spotify.com/v1/audio-analysis/4ns1XFP3W5JPyzvnAjMdHD,259040,4
0.855,0.812,1,-6.334,1,0.242,0.314,0.0,0.311,0.811,107.373,audio_features,0ORVIeQlxjR4grPNhVErNd,spotify:track:0ORVIeQlxjR4grPNhVErNd,https://api.spotify.com/v1/tracks/0ORVIeQlxjR4grPNhVErNd,https://api.spotify.com/v1/audio-analysis/0ORVIeQlxjR4grPNhVErNd,243560,4
0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,audio_features,5ByAIlEEnxYdvpnezg7HTX,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302760,4
0.604,0.772,8,-5.993,0,0.04,0.00474,0.0,0.0709,0.195,135.019,audio_features,1YPM83WexwUCfwQLSVYmOJ,spotify:track:1YPM83WexwUCfwQLSVYmOJ,https://api.spotify.com/v1/tracks/1YPM83WexwUCfwQLSVYmOJ,https://api.spotify.com/v1/audio-analysis/1YPM83WexwUCfwQLSVYmOJ,329440,4
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4
0.6,0.772,10,-5.863,0,0.293,0.102,0.0,0.117,0.594,74.89,audio_features,5btqzCB1tRbgcw1SJhrdzv,spotify:track:5btqzCB1tRbgcw1SJhrdzv,https://api.spotify.com/v1/tracks/5btqzCB1tRbgcw1SJhrdzv,https://api.spotify.com/v1/audio-analysis/5btqzCB1tRbgcw1SJhrdzv,280827,4
